"year","alpha.3","country_or_area","unit","geothermal","hydro","nuclear_electricity","solar_electricity","tide_wave_and_ocean_electricity","wind_electricity","Total_RProd","Total_Consumption"
1994,"AFG","Afghanistan","Kilowatt-hours, Million",0,472,0,0,0,0,472,640
1994,"AGO","Angola","Kilowatt-hours, Million",0,895,0,0,0,0,895,642
1994,"ALB","Albania","Kilowatt-hours, Million",0,3771,0,0,0,0,3771,1808
1994,"AND","Andorra","Kilowatt-hours, Million",0,120,0,0,0,0,120,263.9
1994,"ARG","Argentina","Kilowatt-hours, Million",0,27667,8235,0,0,0,35902,52495
1994,"ARM","Armenia","Kilowatt-hours, Million",0,3514,0,0,0,0,3514,3236
1994,"AUS","Australia","Kilowatt-hours, Million",0,16649,0,13,0,4,16666,140578
1994,"AUT","Austria","Kilowatt-hours, Million",0,36729,0,1,0,0,36730,45605
1994,"AZE","Azerbaijan","Kilowatt-hours, Million",0,1829,0,0,0,0,1829,14354
1994,"BDI","Burundi","Kilowatt-hours, Million",0,115,0,0,0,0,115,84
1994,"BEL","Belgium","Kilowatt-hours, Million",0,1184,40624,0,0,9,41817,66447
1994,"BFA","Burkina Faso","Kilowatt-hours, Million",0,73,0,0,0,0,73,180
1994,"BGD","Bangladesh","Kilowatt-hours, Million",0,846,0,0,0,0,846,6964
1994,"BGR","Bulgaria","Kilowatt-hours, Million",0,1468,15335,0,0,0,16803,27008
1994,"BIH","Bosnia and Herzegovina","Kilowatt-hours, Million",0,3459,0,0,0,0,3459,3443
1994,"BLR","Belarus","Kilowatt-hours, Million",0,19,0,0,0,0,19,27893
1994,"BOL","Bolivia (Plur. State of)","Kilowatt-hours, Million",0,1365,0,0,0,0,1365,2451
1994,"BRA","Brazil","Kilowatt-hours, Million",0,242705,1800,0,0,0,244505,242039
1994,"BTN","Bhutan","Kilowatt-hours, Million",0,1685,0,0,0,0,1685,276
1994,"CAF","Central African Rep.","Kilowatt-hours, Million",0,80,0,0,0,0,80,95
1994,"CAN","Canada","Kilowatt-hours, Million",0,329945,107834,3,33,59,437874,437418
1994,"CHE","Switzerland","Kilowatt-hours, Million",0,39952,24363,5,0,0,64320,46897
1994,"CHL","Chile","Kilowatt-hours, Million",0,16986,0,0,0,0,16986,21650
1994,"CHN","China","Kilowatt-hours, Million",0,504339,42129,0,0,0,546468,749635
1994,"CIV","Côte d'Ivoire","Kilowatt-hours, Million",0,1257,0,0,0,0,1257,1929
1994,"CMR","Cameroon","Kilowatt-hours, Million",0,2688,0,0,0,0,2688,2590
1994,"COD","Dem. Rep. of the Congo","Kilowatt-hours, Million",0,5294,0,0,0,0,5294,2000
1994,"COG","Congo","Kilowatt-hours, Million",0,362,0,0,0,0,362,326
1994,"COL","Colombia","Kilowatt-hours, Million",0,32111,0,0,0,0,32111,33719
1994,"CPV","Cabo Verde","Kilowatt-hours, Million",0,0,0,0,0,5.4,5.4,61.1
1994,"CRI","Costa Rica","Kilowatt-hours, Million",342,3547,0,0,0,0,3889,4220
1994,"CUB","Cuba","Kilowatt-hours, Million",0,61,0,0,0,0,61,9342
1994,"CZE","Czechia","Kilowatt-hours, Million",0,1776,12977,0,0,0,14753,44968
1994,"DEU","Germany","Kilowatt-hours, Million",0,23885,150703,7,0,1428,176023,443573
1994,"DMA","Dominica","Kilowatt-hours, Million",0,17,0,0,0,0,17,29
1994,"DNK","Denmark","Kilowatt-hours, Million",0,33,0,0,0,1137,1170,30756
1994,"DOM","Dominican Republic","Kilowatt-hours, Million",0,1875,0,0,0,0,1875,4373
1994,"DZA","Algeria","Kilowatt-hours, Million",0,166,0,0,0,0,166,13995
1994,"ECU","Ecuador","Kilowatt-hours, Million",0,6565,0,0,0,0,6565,6071
1994,"EGY","Egypt","Kilowatt-hours, Million",0,10737,0,0,0,0,10737,46228
1994,"ESP","Spain","Kilowatt-hours, Million",0,29182,55313,10,0,175,84680,136965
1994,"EST","Estonia","Kilowatt-hours, Million",0,3,0,0,0,0,3,4786
1994,"ETH","Ethiopia","Kilowatt-hours, Million",5,1354,0,0,0,0,1359,1132
1994,"FIN","Finland","Kilowatt-hours, Million",0,11787,19427,1,0,7,31222,65052
1994,"FJI","Fiji","Kilowatt-hours, Million",0,403,0,0,0,0,403,445
1994,"FRA","France","Kilowatt-hours, Million",0,81069,359981,1,501,5,441557,337493
1994,"FRO","Faeroe Islands","Kilowatt-hours, Million",0,76,0,0,0,1,77,153
1994,"GAB","Gabon","Kilowatt-hours, Million",0,746,0,0,0,0,746,734
1994,"GBR","United Kingdom","Kilowatt-hours, Million",0,6557,88282,0,0,342,95181,284264
1994,"GEO","Georgia","Kilowatt-hours, Million",0,6772,0,0,0,0,6772,9334
1994,"GHA","Ghana","Kilowatt-hours, Million",0,6336,0,0,0,0,6336,3673
1994,"GIN","Guinea","Kilowatt-hours, Million",0,184,0,0,0,0,184,440
1994,"GLP","Guadeloupe","Kilowatt-hours, Million",15,0,0,0,0,0,15,858
1994,"GNQ","Equatorial Guinea","Kilowatt-hours, Million",0,6,0,0,0,0,6,33
1994,"GRC","Greece","Kilowatt-hours, Million",0,2842,0,0,0,37,2879,32703
1994,"GTM","Guatemala","Kilowatt-hours, Million",0,2042,0,0,0,0,2042,2758
1994,"GUF","French Guiana","Kilowatt-hours, Million",0,96,0,0,0,0,96,369
1994,"GUY","Guyana","Kilowatt-hours, Million",0,5,0,0,0,0,5,429
1994,"HND","Honduras","Kilowatt-hours, Million",0,2447,0,0,0,0,2447,1649
1994,"HRV","Croatia","Kilowatt-hours, Million",0,5435,0,0,0,0,5435,9593
1994,"HTI","Haiti","Kilowatt-hours, Million",0,200,0,0,0,0,200,132
1994,"HUN","Hungary","Kilowatt-hours, Million",0,161,14049,0,0,0,14210,27584
1994,"IDN","Indonesia","Kilowatt-hours, Million",1601,11178,0,0,0,0,12779,47385
1994,"IND","India","Kilowatt-hours, Million",0,82727,5648,0,0,182,88557,289360
1994,"IRL","Ireland","Kilowatt-hours, Million",0,1198,0,0,0,19,1217,14155
1994,"IRN","Iran (Islamic Rep. of)","Kilowatt-hours, Million",0,7445,0,0,0,0,7445,66960
1994,"IRQ","Iraq","Kilowatt-hours, Million",0,560,0,0,0,0,560,26848
1994,"ISL","Iceland","Kilowatt-hours, Million",260,4515,0,0,0,0,4775,4172
1994,"ISR","Israel","Kilowatt-hours, Million",0,23,0,0,0,0,23,25742
1994,"ITA","Italy","Kilowatt-hours, Million",3417,47731,0,11,0,7,51166,231552
1994,"JAM","Jamaica","Kilowatt-hours, Million",0,111,0,0,0,0,111,4238
1994,"JOR","Jordan","Kilowatt-hours, Million",0,14,0,0,0,0,14,4245
1994,"JPN","Japan","Kilowatt-hours, Million",2064,75659,269126,33,0,1,346883,837196
1994,"KAZ","Kazakhstan","Kilowatt-hours, Million",0,9179,0,0,0,0,9179,57620
1994,"KEN","Kenya","Kilowatt-hours, Million",261,3068,0,0,0,0,3329,3204
1994,"KGZ","Kyrgyzstan","Kilowatt-hours, Million",0,11724,0,0,0,0,11724,8363
1994,"KHM","Cambodia","Kilowatt-hours, Million",0,42,0,0,0,0,42,124
1994,"KOR","Korea, Dem.Ppl's.Rep.","Kilowatt-hours, Million",0,13800,0,0,0,0,13800,18105
1994,"LAO","Lao People's Dem. Rep.","Kilowatt-hours, Million",0,1198.5498,0,0,0,0,1198.5498,279.4417
1994,"LBN","Lebanon","Kilowatt-hours, Million",0,960,0,0,0,0,960,4407
1994,"LKA","Sri Lanka","Kilowatt-hours, Million",0,4089,0,0,0,0,4089,3587
1994,"LTU","Lithuania","Kilowatt-hours, Million",0,718,7706,0,0,0,8424,6613
1994,"LUX","Luxembourg","Kilowatt-hours, Million",0,656,0,0,0,0,656,4644
1994,"LVA","Latvia","Kilowatt-hours, Million",0,3305,0,0,0,0,3305,4528
1994,"MAR","Morocco","Kilowatt-hours, Million",0,839,0,0,0,0,839,10133
1994,"MDA","Republic of Moldova","Kilowatt-hours, Million",0,278,0,0,0,0,278,6545
1994,"MDG","Madagascar","Kilowatt-hours, Million",0,389.2227,0,0,0,0,389.2227,550.939
1994,"MEX","Mexico","Kilowatt-hours, Million",5598,20048,4239,5,0,5,29895,114888
1994,"MKD","T.F.Yug.Rep. Macedonia","Kilowatt-hours, Million",0,695,0,0,0,0,695,4771
1994,"MLI","Mali","Kilowatt-hours, Million",0,217,0,0,0,0,217,258
1994,"MMR","Myanmar","Kilowatt-hours, Million",0,1614,0,0,0,0,1614,2192
1994,"MOZ","Mozambique","Kilowatt-hours, Million",0,366,0,0,0,0,366,637
1994,"MRT","Mauritania","Kilowatt-hours, Million",0,28,0,0,0,0,28,239.4
1994,"MUS","Mauritius","Kilowatt-hours, Million",0,76,0,0,0,0,76,811
1994,"MWI","Malawi","Kilowatt-hours, Million",0,802,0,0,0,0,802,812.2
1994,"MYS","Malaysia","Kilowatt-hours, Million",0,6521,0,0,0,0,6521,35031
1994,"NAM","Namibia","Kilowatt-hours, Million",0,672,0,0,0,0,672,1520
1994,"NCL","New Caledonia","Kilowatt-hours, Million",0,277,0,0,0,0,277,1310
1994,"NGA","Nigeria","Kilowatt-hours, Million",0,5562,0,0,0,0,5562,9595
1994,"NIC","Nicaragua","Kilowatt-hours, Million",515,310,0,0,0,0,825,1133
1994,"NLD","Netherlands","Kilowatt-hours, Million",0,100,3967,1,0,238,4306,81302
1994,"NOR","Norway","Kilowatt-hours, Million",0,112676,0,0,0,9,112685,101804
1994,"NPL","Nepal","Kilowatt-hours, Million",0,875,0,0,0,0,875,719
1994,"NZL","New Zealand","Kilowatt-hours, Million",2227,25834,0,0,0,1,28062,30189
1994,"PAK","Pakistan","Kilowatt-hours, Million",0,19436,497,0,0,0,19933,37381
1994,"PAN","Panama","Kilowatt-hours, Million",0,2391,0,0,0,0,2391,2624
1994,"PER","Peru","Kilowatt-hours, Million",0,12754,0,0,0,0,12754,10911
1994,"PHL","Philippines","Kilowatt-hours, Million",6320,5877,0,0,0,0,12197,24592
1994,"PNG","Papua New Guinea","Kilowatt-hours, Million",0,804,0,0,0,0,804,1081
1994,"POL","Poland","Kilowatt-hours, Million",0,3786,0,0,0,0,3786,85324
1994,"PRI","Puerto Rico","Kilowatt-hours, Million",0,46,0,0,0,0,46,16045
1994,"PRT","Portugal","Kilowatt-hours, Million",33,10702,0,1,0,17,10753,26955
1994,"PRY","Paraguay","Kilowatt-hours, Million",0,36396,0,0,0,0,36396,3159
