"country_or_area","year","Total_Consumption","unit","alpha.3"
"Afghanistan",2009,1600,"Kilowatt-hours, million","AFG"
"Afghanistan",1995,626,"Kilowatt-hours, million","AFG"
"Afghanistan",2005,860,"Kilowatt-hours, million","AFG"
"Afghanistan",2001,620,"Kilowatt-hours, million","AFG"
"Afghanistan",1994,640,"Kilowatt-hours, million","AFG"
"Afghanistan",2011,2300,"Kilowatt-hours, million","AFG"
"Afghanistan",2007,1500,"Kilowatt-hours, million","AFG"
"Afghanistan",2008,1500,"Kilowatt-hours, million","AFG"
"Afghanistan",2006,1240,"Kilowatt-hours, million","AFG"
"Afghanistan",2010,2400,"Kilowatt-hours, million","AFG"
"Afghanistan",1997,603,"Kilowatt-hours, million","AFG"
"Afghanistan",2014,3767.3,"Kilowatt-hours, million","AFG"
"Afghanistan",2003,882,"Kilowatt-hours, million","AFG"
"Afghanistan",1996,616,"Kilowatt-hours, million","AFG"
"Afghanistan",2002,652,"Kilowatt-hours, million","AFG"
"Afghanistan",2012,3265,"Kilowatt-hours, million","AFG"
"Afghanistan",2004,860,"Kilowatt-hours, million","AFG"
"Afghanistan",2013,3022,"Kilowatt-hours, million","AFG"
"Afghanistan",2000,617,"Kilowatt-hours, million","AFG"
"Afghanistan",1998,594,"Kilowatt-hours, million","AFG"
"Afghanistan",1999,614,"Kilowatt-hours, million","AFG"
"Albania",1995,1995,"Kilowatt-hours, million","ALB"
"Albania",2004,3671,"Kilowatt-hours, million","ALB"
"Albania",2000,3629,"Kilowatt-hours, million","ALB"
"Albania",2010,5667.92,"Kilowatt-hours, million","ALB"
"Albania",2006,3477,"Kilowatt-hours, million","ALB"
"Albania",2007,3456,"Kilowatt-hours, million","ALB"
"Albania",1997,2104,"Kilowatt-hours, million","ALB"
"Albania",2005,5163,"Kilowatt-hours, million","ALB"
"Albania",1994,1808,"Kilowatt-hours, million","ALB"
"Albania",2001,3516,"Kilowatt-hours, million","ALB"
"Albania",2012,5759.64,"Kilowatt-hours, million","ALB"
"Albania",2013,6892.14,"Kilowatt-hours, million","ALB"
"Albania",2009,5373.83,"Kilowatt-hours, million","ALB"
"Albania",1999,3413,"Kilowatt-hours, million","ALB"
