"country_or_area","year","unit","geothermal","hydro","nuclear_electricity","solar_electricity","tide_wave_and_ocean_electricity","wind_electricity","total","alpha.3"
"Afghanistan",2011,"Kilowatt-hours, Million",0,829,0,0,0,0,829,"AFG"
"Afghanistan",1999,"Kilowatt-hours, Million",0,505,0,0,0,0,505,"AFG"
"Afghanistan",1994,"Kilowatt-hours, Million",0,472,0,0,0,0,472,"AFG"
"Afghanistan",2000,"Kilowatt-hours, Million",0,515.7,0,0,0,0,515.7,"AFG"
"Afghanistan",2005,"Kilowatt-hours, Million",0,671,0,0,0,0,671,"AFG"
"Afghanistan",2001,"Kilowatt-hours, Million",0,503.2,0,0,0,0,503.2,"AFG"
"Afghanistan",2002,"Kilowatt-hours, Million",0,571,0,0,0,0,571,"AFG"
"Afghanistan",1997,"Kilowatt-hours, Million",0,485,0,0,0,0,485,"AFG"
"Afghanistan",2003,"Kilowatt-hours, Million",0,647,0,0,0,0,647,"AFG"
"Afghanistan",2010,"Kilowatt-hours, Million",0,767,0,0,0,0,767,"AFG"
"Afghanistan",1996,"Kilowatt-hours, Million",0,475,0,0,0,0,475,"AFG"
"Afghanistan",2012,"Kilowatt-hours, Million",0,878,0,0,0,0,878,"AFG"
"Afghanistan",2009,"Kilowatt-hours, Million",0,775,0,0,0,0,775,"AFG"
"Afghanistan",2014,"Kilowatt-hours, Million",0,895.3,0,0,0,0,895.3,"AFG"
"Afghanistan",2006,"Kilowatt-hours, Million",0,646,0,0,0,0,646,"AFG"
"Afghanistan",1998,"Kilowatt-hours, Million",0,495,0,0,0,0,495,"AFG"
"Afghanistan",2013,"Kilowatt-hours, Million",0,803.9,0,0,0,0,803.9,"AFG"
"Afghanistan",2008,"Kilowatt-hours, Million",0,541,0,0,0,0,541,"AFG"
"Afghanistan",2007,"Kilowatt-hours, Million",0,684,0,0,0,0,684,"AFG"
"Afghanistan",2004,"Kilowatt-hours, Million",0,565,0,0,0,0,565,"AFG"
"Afghanistan",1995,"Kilowatt-hours, Million",0,466,0,0,0,0,466,"AFG"
"Albania",2001,"Kilowatt-hours, Million",0,3555,0,0,0,0,3555,"ALB"
"Albania",1997,"Kilowatt-hours, Million",0,5028,0,0,0,0,5028,"ALB"
"Albania",2005,"Kilowatt-hours, Million",0,5373,0,0,0,0,5373,"ALB"
"Albania",2012,"Kilowatt-hours, Million",0,4725,0,0,0,0,4725,"ALB"
"Albania",2009,"Kilowatt-hours, Million",0,5230.49,0,0,0,0,5230.49,"ALB"
"Albania",2002,"Kilowatt-hours, Million",0,3512,0,0,0,0,3512,"ALB"
"Albania",1995,"Kilowatt-hours, Million",0,4204,0,0,0,0,4204,"ALB"
"Albania",2007,"Kilowatt-hours, Million",0,2874,0,0,0,0,2874,"ALB"
"Albania",2011,"Kilowatt-hours, Million",0,4158,0,0,0,0,4158,"ALB"
"Albania",1996,"Kilowatt-hours, Million",0,5726,0,0,0,0,5726,"ALB"
"Albania",2013,"Kilowatt-hours, Million",0,6956,0,0,0,0,6956,"ALB"
"Albania",2010,"Kilowatt-hours, Million",0,7743.3,0,0,0,0,7743.3,"ALB"
"Albania",1994,"Kilowatt-hours, Million",0,3771,0,0,0,0,3771,"ALB"
